Grid X, Grid Y, Block X, Block Y, GPU Time, CPU Time, Initialization Time, Transfer from host to GPU, Transfer from GPU to host, Grid Dimensions, Block Dimensions
64, 2, 4, 128, 0.06624, 3.09, 0.001586, 0.1372, 0.0001323
128, 1, 4, 128, 0.06623, 3.127, 0.001563, 0.1335, 0.0001345
1, 64, 4, 256, 0.08693, 3.094, 0.001549, 0.1305, 0.0001305
2, 32, 4, 256, 0.0844, 3.125, 0.001561, 0.1305, 0.0001288
4, 16, 4, 256, 0.08055, 3.131, 0.00156, 0.1328, 0.0001323
8, 8, 4, 256, 0.06655, 3.126, 0.001574, 0.1294, 0.0001291
16, 4, 4, 256, 0.06624, 3.124, 0.001639, 0.1353, 0.0001343
32, 2, 4, 256, 0.06625, 3.135, 0.00158, 0.1378, 0.0001336
64, 1, 4, 256, 0.06625, 3.124, 0.001573, 0.1251, 0.0001283
1, 32, 4, 512, 0.0866, 3.153, 0.001563, 0.1263, 0.0001297
2, 16, 4, 512, 0.08441, 3.125, 0.001573, 0.1374, 0.0001311
4, 8, 4, 512, 0.08028, 3.14, 0.001578, 0.1349, 0.0001313
8, 4, 4, 512, 0.07041, 3.122, 0.001579, 0.1309, 0.0001288
16, 2, 4, 512, 0.06884, 3.157, 0.001691, 0.136, 0.0001349
32, 1, 4, 512, 0.0688, 3.106, 0.001574, 0.1389, 0.0001271
1, 16, 4, 1024, 0.1315, 3.103, 0.001578, 0.1251, 0.0001451
2, 8, 4, 1024, 0.1314, 3.112, 0.001582, 0.1359, 0.0001284
4, 4, 4, 1024, 0.1314, 3.122, 0.001578, 0.1334, 0.0001277
8, 2, 4, 1024, 0.1312, 3.109, 0.001563, 0.1335, 0.000131
16, 1, 4, 1024, 0.1315, 3.145, 0.001597, 0.1346, 0.0001374
1, 8, 4, 2048, 0.2335, 3.123, 0.001575, 0.13, 0.0001328
2, 4, 4, 2048, 0.2319, 3.126, 0.001571, 0.1376, 0.0001306
4, 2, 4, 2048, 0.2317, 3.118, 0.001573, 0.1368, 0.0001325
8, 1, 4, 2048, 0.2325, 3.12, 0.001786, 0.1349, 0.0001281
1, 4, 4, 4096, 0.4234, 3.129, 0.001572, 0.1323, 0.0001461
2, 2, 4, 4096, 0.4231, 3.119, 0.001592, 0.133, 0.0001328
4, 1, 4, 4096, 0.4221, 3.122, 0.00159, 0.1365, 0.0001345
1, 2, 4, 8192, 0.8086, 3.118, 0.001585, 0.1243, 0.0001293
2, 1, 4, 8192, 0.8047, 3.12, 0.001579, 0.1335, 0.0001328
1, 1, 4, 16384, 1.57, 3.128, 0.001581, 0.1318, 0.0001345
1, 1024, 8, 8, 0.1593, 3.128, 0.001593, 0.1314, 0.0001334
2, 512, 8, 8, 0.1538, 3.126, 0.001592, 0.1338, 0.0001347
